Player,Pos,Age,Tm,Team Wins,Overall Seed,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TMP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Kyle Lowry,PG,37,MIA,30,16,37,35,28,2.8,6.5,0.426,1.7,4.4,0.385,1.1,2.2,0.506,0.554,0.9,1.1,0.833,0.7,2.8,3.5,4,1.1,0.4,1.4,2.5,8.2,1037,10.8,0.582,0.665,0.174,2.7,11.5,7,19.5,1.9,1.4,16.9,13.4,0.7,1.3,2,0.093,-2.1,1.2,-0.9,0.3
Caleb Martin,SF,28,MIA,30,16,38,17,26.6,3.9,8.6,0.451,1.1,3.2,0.35,2.8,5.4,0.51,0.515,1.2,1.6,0.763,1.2,3.3,4.5,2.1,0.8,0.3,1.1,2.1,10,1009,11.3,0.541,0.368,0.181,5.2,14.1,9.6,11.8,1.4,1.1,10.9,17.3,0.3,1.2,1.5,0.07,-2.2,0,-2.1,0
Josh Richardson,SG,30,MIA,30,16,43,6,25.7,3.6,8.1,0.444,1.5,4.4,0.347,2,3.7,0.561,0.539,1.2,1.3,0.944,0.4,2.4,2.8,2.4,0.6,0.3,0.8,1.8,9.9,1103,11.3,0.573,0.548,0.156,1.8,10.7,6.2,13.9,1.1,1.2,8.9,16.3,0.9,1.1,2,0.087,-1.4,0,-1.5,0.2
Duncan Robinson,SF,29,MIA,30,16,50,19,27.4,4.6,10.1,0.459,2.8,6.8,0.412,1.8,3.3,0.558,0.598,1.3,1.5,0.89,0.2,2.2,2.4,2.8,0.6,0.2,1.3,2.3,13.3,1371,12.9,0.623,0.676,0.145,0.9,9.2,4.9,15.7,1.1,0.7,11.1,19.4,1.4,1.3,2.7,0.096,0,-0.6,-0.6,0.5
Orlando Robinson,C,23,MIA,30,16,24,7,10,1.3,2.6,0.516,0.3,0.5,0.538,1,2,0.51,0.573,0.8,1,0.75,0.8,2,2.8,1.1,0.3,0.3,0.6,1.3,3.7,239,14.9,0.613,0.21,0.387,8.8,22.6,15.6,16.3,1.2,2.9,16.2,16,0.3,0.4,0.7,0.141,-1.7,1,-0.7,0.1
Terry Rozier,PG,29,MIA,30,16,10,9,29.9,4.6,12.8,0.359,1.1,4.7,0.234,3.5,8.1,0.432,0.402,2.3,2.4,0.958,1,3.5,4.5,5.6,0.8,0.2,1.1,1.9,12.6,299,12.3,0.455,0.367,0.188,3.7,13.5,8.5,27.9,1.3,0.7,7.4,22.1,0,0.3,0.3,0.054,-1.8,0,-1.8,0
Dru Smith,SG,26,MIA,30,16,9,0,14.6,1.7,3.7,0.455,0.8,1.9,0.412,0.9,1.8,0.5,0.561,0.2,0.2,1,0.7,0.9,1.6,1.6,1,0.3,0.6,1.3,4.3,131,12.7,0.576,0.515,0.061,5.1,7,6,15,3.4,2.2,12.9,13.1,0.1,0.2,0.3,0.119,-2,3.1,1.2,0.1
Cole Swider,SF,24,MIA,30,16,10,0,5,0.9,2.3,0.391,0.5,1.7,0.294,0.4,0.6,0.667,0.5,0.2,0.2,1,0.1,0.2,0.3,0.4,0.1,0.1,0.6,0.2,2.5,50,7,0.523,0.739,0.087,2.2,4.6,3.4,12.4,1,2,20.1,26.4,-0.1,0,-0.1,-0.084,-2.8,-2.3,-5.1,0
Alondes Williams,SG,24,MIA,30,16,1,0,6,0,1,0,0,1,0,0,0,,0,0,0,,0,1,1,0,0,0,1,0,0,6,-12.7,0,1,0,0,19.2,9.4,0,0,0,50,14.7,-0.1,0,0,-0.374,-17.3,-4.2,-21.4,0
Giannis Antetokounmpo,PF,29,MIL,35,7,54,54,35,11.6,18.8,0.616,0.4,1.7,0.255,11.1,17.1,0.652,0.627,7.1,10.9,0.653,2.5,8.7,11.2,6.4,1.4,1.1,3.5,3,30.8,1888,29.7,0.651,0.092,0.581,8.1,26.5,17.6,31.5,1.8,2.5,12.8,33,6.7,2.7,9.4,0.24,6.4,2.2,8.6,5.1
Thanasis Antetokounmpo,PF,31,MIL,35,7,23,0,4.6,0.5,0.9,0.524,0,0,0,0.5,0.9,0.55,0.524,0,0,,0.2,0.2,0.4,0.5,0.1,0.2,0.4,0.9,1,106,4.7,0.524,0.048,0,5.3,4,4.6,14,1.3,3.1,32.3,12.4,-0.1,0.1,0,-0.017,-7.3,-0.4,-7.7,-0.2
Malik Beasley,SG,27,MIL,35,7,54,54,29.5,4.1,8.8,0.468,2.9,6.5,0.444,1.2,2.3,0.537,0.633,0.3,0.5,0.64,0.7,3.3,3.9,1.4,0.8,0.1,0.7,2.1,11.4,1595,11.1,0.635,0.741,0.053,2.5,11.8,7.3,5.9,1.3,0.3,7.3,14,1.8,1.1,2.9,0.087,-0.3,-0.8,-1.1,0.3
MarJon Beauchamp,SF,23,MIL,35,7,40,1,14.2,1.8,3.7,0.477,0.7,1.7,0.391,1.1,2,0.55,0.567,0.5,0.7,0.679,0.6,1.8,2.3,0.7,0.3,0.2,0.7,1.3,4.7,567,8.9,0.583,0.463,0.188,4.4,13.1,8.9,6.5,1,0.9,14.3,14.1,0.1,0.4,0.5,0.045,-2.7,-1.1,-3.8,-0.3
Patrick Beverley,PG,35,MIL,35,7,4,0,14.8,1.3,4.3,0.294,1,2.5,0.4,0.3,1.8,0.143,0.412,0.3,0.5,0.5,0.3,1.8,2,2.5,0.8,0,1.3,1.8,3.8,59,5.2,0.419,0.588,0.118,1.9,12.6,7.4,20.5,2.4,0,21.9,16.5,-0.1,0.1,0,-0.036,-6.6,-0.1,-6.7,-0.1
Marques Bolden,C,25,MIL,35,7,2,0,1.5,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0.5,0,3,3.1,,,,0,71,36.5,0,0,0,,0,0,0,0,0.1,-7.9,2.3,-5.6,0
Pat Connaughton,SF,31,MIL,35,7,50,2,21.3,1.9,4.1,0.456,1.1,2.9,0.385,0.8,1.2,0.623,0.591,0.4,0.6,0.69,0.6,2.7,3.3,2,0.5,0.2,0.6,1.3,5.2,1065,9.5,0.602,0.701,0.142,3.4,13.3,8.5,11.1,1.2,0.8,12.9,9.9,1,0.8,1.8,0.082,-1.3,0.1,-1.3,0.2
Jae Crowder,PF,33,MIL,35,7,25,9,24.7,2.5,5.6,0.44,1.4,3.7,0.37,1.1,2,0.571,0.56,0.6,1,0.667,0.4,2.8,3.3,1.6,0.8,0.2,0.5,1.6,7,618,9.1,0.574,0.652,0.17,2,12.2,7.3,7.8,1.5,0.7,7.3,11.3,0.4,0.5,0.9,0.072,-1.9,0,-1.9,0
A.J. Green,SG,24,MIL,35,7,36,0,9.3,1.4,3.4,0.43,1.2,2.9,0.415,0.2,0.4,0.533,0.612,0.2,0.2,1,0.2,0.9,1.1,0.6,0.1,0.1,0.1,0.9,4.3,335,12,0.626,0.876,0.066,2,10.2,6.2,8.3,0.4,0.5,3.1,16.3,0.6,0.2,0.8,0.108,0.9,-2.2,-1.3,0.1
Andre Jackson Jr.,SG,22,MIL,35,7,45,8,11,1,1.9,0.523,0.3,0.9,0.375,0.7,1,0.652,0.61,0.2,0.2,0.727,0.8,1.2,2,1,0.3,0.1,0.5,1.8,2.5,497,8.7,0.622,0.465,0.128,8.1,12,10.1,10.5,1.2,0.7,18.8,9.6,0.6,0.4,0.9,0.09,-3.3,-0.1,-3.4,-0.2
Damian Lillard,PG,33,MIL,35,7,51,51,34.9,7.4,17.4,0.423,2.9,8.5,0.341,4.5,8.9,0.501,0.506,7,7.6,0.925,0.6,3.6,4.1,6.7,1,0.2,2.5,1.7,24.6,1782,19.9,0.594,0.489,0.436,1.8,10.9,6.5,27.4,1.4,0.5,10.9,28.3,4.2,1.3,5.5,0.147,3.4,-1.5,1.9,1.8
Chris Livingston,SF,20,MIL,35,7,15,0,4.1,0.5,0.9,0.5,0.1,0.1,1,0.4,0.9,0.462,0.536,0.1,0.1,1,0.1,0.8,0.9,0.3,0.1,0,0.2,0.5,1.1,62,8.6,0.571,0.071,0.143,3.6,20.6,12.4,8.1,1.5,0,16.8,12.3,0,0.1,0.1,0.053,-4.9,-0.8,-5.7,-0.1
Brook Lopez,C,35,MIL,35,7,53,53,31.5,4.9,10.2,0.483,1.8,5.2,0.342,3.1,5,0.631,0.571,1.4,1.7,0.835,1.5,4,5.6,1.6,0.6,2.7,0.9,2.6,13,1670,15,0.597,0.511,0.169,5.5,13.6,9.7,6.9,0.9,7.1,8,16,2,2,4,0.116,0,1,1,1.3
Robin Lopez,C,35,MIL,35,7,16,2,4.1,0.4,1.2,0.368,0.1,0.5,0.25,0.3,0.7,0.455,0.421,0.1,0.1,1,0.2,0.1,0.3,0.3,0.1,0.2,0.1,0.4,1.1,65,6.5,0.453,0.421,0.105,5.2,3.3,4.2,7.6,0.7,3.8,9.1,14.3,0,0,0,0.005,-4.7,-1.4,-6.1,-0.1
Khris Middleton,SF,32,MIL,35,7,43,43,26.3,5.6,11.6,0.487,1.7,4.5,0.378,3.9,7.1,0.556,0.56,1.8,2.2,0.832,0.6,3.7,4.3,5,0.9,0.3,2.1,2.4,14.8,1129,16.7,0.59,0.388,0.191,2.6,14.9,8.9,27.4,1.6,0.9,14.2,23.7,1.4,1,2.5,0.105,1,-0.2,0.7,0.8
Bobby Portis,PF,28,MIL,35,7,56,1,24,5.1,10.3,0.494,1.2,3,0.385,3.9,7.3,0.539,0.55,1.3,1.6,0.791,1.6,5.3,6.9,1.1,0.7,0.4,1,2.4,12.7,1343,15.8,0.573,0.292,0.157,7.7,23.4,15.8,6.6,1.4,1.3,8,21.3,1.2,1.5,2.8,0.1,-0.9,-1.2,-2,0
TyTy Washington Jr.,PG,22,MIL,35,7,5,0,4.2,0.2,1.4,0.143,0.2,0.6,0.333,0,0.8,0,0.214,0,0,,0,0.2,0.2,0.2,0.4,0,0.4,0,0.6,21,-3.1,0.214,0.429,0,0,5.1,2.6,5.5,4.5,0,22.2,18.2,-0.1,0,-0.1,-0.241,-12.5,-0.7,-13.2,-0.1
Lindell Wigginton,PG,25,MIL,35,7,3,0,2.7,0.7,1.7,0.4,0,0.7,0,0.7,1,0.667,0.4,0.7,0.7,1,0,0,0,0,0,0,0.3,0.3,2,8,5.5,0.51,0.4,0.4,0,0,0,0,0,0,14.5,36.6,0,0,0,-0.156,-14.7,-9.2,-23.9,0
Nickeil Alexander-Walker,SG,25,MIN,39,2,55,16,23.1,2.5,5.9,0.429,1.5,3.9,0.376,1.1,2,0.532,0.552,0.5,0.7,0.763,0.4,1.5,1.9,2.5,0.9,0.5,1,1.9,7,1268,9.9,0.568,0.657,0.117,2,7.2,4.8,14.8,1.8,1.9,13.5,13.7,0.7,2.1,2.7,0.103,-1.7,1.8,0.1,0.7
Kyle Anderson,PF,30,MIN,39,2,55,2,21.8,2.3,5.1,0.464,0.1,0.6,0.219,2.2,4.5,0.496,0.477,1.3,1.8,0.7,0.8,2.7,3.5,4.1,0.8,0.5,1.2,1.5,6.1,1201,12.3,0.52,0.115,0.36,4.5,13.3,9.2,24.8,1.8,2.1,17.4,14.3,0.8,2.2,3,0.121,-1.4,2.6,1.2,1
Mike Conley,PG,36,MIN,39,2,50,50,28.9,3.5,8,0.444,2.3,5.2,0.442,1.2,2.8,0.446,0.588,1.2,1.3,0.923,0.4,2.5,2.9,6.4,1,0.2,1.1,1.7,10.6,1446,15.5,0.619,0.652,0.163,1.6,9.3,5.7,30.3,1.7,0.7,11,14.6,3.6,2.3,5.8,0.194,2.1,1.6,3.7,2.1
Anthony Edwards,SG,22,MIN,39,2,52,52,35,9.1,19.3,0.471,2.6,6.7,0.386,6.5,12.7,0.515,0.537,5.5,6.5,0.841,0.6,4.7,5.2,5.3,1.2,0.5,3.3,2,26.3,1818,19.9,0.591,0.345,0.337,2,14.3,8.6,25.2,1.7,1.3,12.8,32.1,2.2,3.2,5.4,0.142,3.1,0.6,3.8,2.7
Luka Garza,C,25,MIN,39,2,13,0,3,0.8,1.9,0.44,0.2,0.7,0.333,0.6,1.2,0.5,0.5,0.6,0.9,0.667,0.5,0.4,0.8,0.2,0,0,0.2,0.8,2.5,39,18.3,0.545,0.36,0.48,18.9,13.8,16.2,8.9,0,0,6.2,36.5,0.1,0,0.1,0.136,-2.3,-3.9,-6.1,0
Rudy Gobert,C,31,MIN,39,2,54,54,33.4,5.2,8,0.647,0,0,0,5.2,8,0.65,0.647,3.4,5.2,0.645,3.6,9,12.5,1.2,0.6,2.1,1.5,3,13.7,1802,18.8,0.666,0.005,0.651,13.1,29,21.6,5.2,0.9,5.4,13,15.6,3.7,4.2,7.9,0.211,0,1.7,1.7,1.7
Jaden McDaniels,SF,23,MIN,39,2,45,44,28.7,4.4,8.7,0.505,1.2,3.4,0.357,3.2,5.2,0.602,0.576,0.7,0.9,0.795,0.8,1.9,2.7,1.3,0.9,0.5,1.3,3,10.7,1291,9.6,0.589,0.395,0.1,3.3,7.1,5.3,6.5,1.5,1.6,12.3,15.8,0.3,2,2.3,0.084,-3,0.8,-2.2,0
Jordan McLaughlin,PG,27,MIN,39,2,33,0,8.9,0.9,2.3,0.395,0.5,1.3,0.395,0.4,1,0.394,0.507,0.1,0.2,0.5,0.3,0.7,1,1.6,0.7,0.2,0.3,0.5,2.5,293,13.6,0.509,0.566,0.105,4.2,8.5,6.5,24.4,3.7,1.5,12.2,13.6,0.3,0.6,0.9,0.148,0,4.2,4.2,0.5
Leonard Miller,SF,20,MIN,39,2,7,0,3.7,1,1.6,0.636,0.1,0.4,0.333,0.9,1.1,0.75,0.682,0,0,,0.1,1.3,1.4,0.4,0.1,0.1,0.1,0.4,2.1,26,23.9,0.682,0.273,0,4.7,37.3,22.1,19.6,1.9,3.4,8.3,20.3,0.1,0.1,0.1,0.252,3,4.8,7.9,0.1
Josh Minott,SF,21,MIN,39,2,19,0,3.2,0.5,1.1,0.476,0.1,0.3,0.167,0.5,0.8,0.6,0.5,0.6,0.7,0.857,0.2,0.4,0.5,0.2,0.2,0.2,0.1,0.4,1.7,61,18.4,0.608,0.286,0.667,6,12.4,9.4,7.1,2.4,4.3,6.9,21.1,0.1,0.1,0.3,0.207,-0.3,2.4,2.1,0.1
Wendell Moore Jr.,SG,22,MIN,39,2,14,0,3.1,0.4,0.7,0.5,0,0.3,0,0.4,0.4,0.833,0.5,0,0,,0,0.4,0.4,0.1,0.4,0.1,0.2,0.3,0.7,44,8.6,0.5,0.4,0,0,14.7,7.8,6.1,5.6,2,23.1,13,-0.1,0.1,0,0.048,-7.2,6,-1.2,0
Monte Morris,PG,28,MIN,39,2,3,0,15,2.3,5.3,0.438,0.7,3,0.222,1.7,2.3,0.714,0.5,0.3,0.3,1,0,1.3,1.3,2.3,1,0.3,0.3,0.7,5.7,45,14.5,0.517,0.563,0.063,0,9.6,5.1,22.2,3.3,2,5.7,17.1,0,0.1,0.1,0.141,-1.4,3.6,2.2,0
Daishen Nix,PG,21,MIN,39,2,10,0,3.5,0.8,1.9,0.421,0.5,1.3,0.385,0.3,0.6,0.5,0.553,0.1,0.4,0.25,0,0.1,0.1,0.2,0.2,0,0.1,0.1,2.2,35,13.3,0.53,0.684,0.211,0,3.1,1.6,9.1,2.8,0,4.6,27.4,0,0.1,0,0.047,-1.3,-0.1,-1.5,0
Naz Reid,C,24,MIN,39,2,55,0,22.5,4.6,9.5,0.489,1.9,4.6,0.418,2.7,4.9,0.556,0.59,1.1,1.4,0.753,0.9,3.7,4.6,1,0.7,0.7,1.2,2,12.2,1237,15.5,0.606,0.482,0.148,4.7,17.9,11.7,7.1,1.5,2.9,10.6,22.1,0.8,2.4,3.2,0.125,0.4,1.1,1.5,1.1
Karl-Anthony Towns,PF,28,MIN,39,2,54,54,32.7,8,15.4,0.517,2.2,5.1,0.437,5.7,10.3,0.558,0.59,4.3,4.9,0.878,1.4,6.9,8.4,2.9,0.7,0.6,2.8,3.3,22.5,1768,19.5,0.64,0.333,0.316,5.4,22.8,14.6,14.4,1,1.7,13.9,27.4,2.8,3.3,6.1,0.166,2,1,3,2.2
Jose Alvarado,PG,25,NOP,33,8,37,0,16.6,2.5,5.9,0.418,1.2,3.5,0.357,1.2,2.5,0.505,0.523,0.7,1,0.684,0.4,1.8,2.2,1.8,1.1,0.3,0.7,1.5,6.9,616,13.4,0.541,0.586,0.173,2.5,11.9,7.2,14.6,3.2,1.8,9.6,18.3,0.3,1,1.3,0.1,-1.4,1.8,0.4,0.4
Dyson Daniels,PG,20,NOP,33,8,52,15,21.9,2.2,4.9,0.438,0.6,2.1,0.291,1.5,2.8,0.548,0.5,0.6,1,0.64,1,2.7,3.7,2.6,1.4,0.4,1,1.6,5.5,1139,11.4,0.518,0.43,0.195,5,13.6,9.3,15,3.1,1.8,15.8,12.5,0.4,1.8,2.1,0.091,-2.2,2.6,0.4,0.7
Kaiser Gates,SF,27,NOP,33,8,1,0,7,0,4,0,0,2,0,0,2,0,0,0,0,,0,1,1,0,0,0,0,0,0,7,-19.7,0,0.5,0,0,15.8,8,0,0,0,0,24.6,-0.1,0,-0.1,-0.546,-18.6,-9.9,-28.5,-0.1
Jordan Hawkins,SG,21,NOP,33,8,48,10,20.2,3.2,7.9,0.401,2,5.1,0.381,1.2,2.8,0.439,0.525,1.3,1.5,0.847,0.5,2.1,2.7,1.3,0.4,0.1,0.8,1.3,9.6,969,11.3,0.559,0.652,0.19,3,11.7,7.4,8.6,0.9,0.4,8.1,19.9,0.6,0.8,1.4,0.07,-0.6,-1.7,-2.3,-0.1
Brandon Ingram,SF,26,NOP,33,8,51,51,33.4,8,16.4,0.49,1.4,3.9,0.362,6.6,12.5,0.531,0.533,3.9,5,0.794,0.7,4.3,5,5.8,0.8,0.6,2.5,2.3,21.4,1701,18.2,0.577,0.238,0.303,2.4,14.1,8.3,26.9,1.2,1.7,11.9,27.2,2.3,1.8,4.2,0.118,1.7,-0.4,1.3,1.4
Herbert Jones,SF,25,NOP,33,8,50,50,28.7,3.9,7.9,0.497,1.4,3.5,0.407,2.5,4.3,0.571,0.589,1.7,2,0.86,1.2,2.5,3.7,2.4,1.2,0.8,1.2,2.8,11,1434,13.6,0.628,0.449,0.254,4.5,9.8,7.2,11.3,2,2.9,12.4,15,2,1.8,3.8,0.127,-0.5,1,0.5,0.9
E.J. Liddell,PF,23,NOP,33,8,8,0,2.9,0.1,0.8,0.167,0,0.6,0,0.1,0.1,1,0.167,0.3,0.3,1,0,0.6,0.6,0.1,0.3,0.3,0.3,0.3,0.5,23,4.2,0.291,0.833,0.333,0,24.1,12.1,5.1,4.2,8.5,22.5,16.6,-0.1,0.1,0,-0.09,-8.7,4,-4.6,0
Naji Marshall,SF,26,NOP,33,8,44,1,18.5,2.6,5.7,0.46,0.8,2.2,0.378,1.8,3.5,0.513,0.534,1.4,1.8,0.792,1,2.5,3.5,1.9,0.7,0.2,1.1,1.5,7.5,815,13.2,0.577,0.389,0.306,5.9,15.1,10.5,13.9,1.9,0.8,14.4,17.6,0.7,1,1.7,0.099,-1.3,0,-1.3,0.1
CJ McCollum,PG,32,NOP,33,8,41,41,32.1,6.9,14.9,0.461,3.4,8,0.421,3.5,6.8,0.509,0.576,1.9,2.4,0.798,0.6,3.7,4.3,4.6,1.1,0.8,1.6,2.1,19,1315,18,0.598,0.542,0.163,2,12.9,7.5,21.3,1.7,2.3,9.2,23.5,2.2,1.6,3.8,0.14,3.1,0.3,3.4,1.8
Trey Murphy III,SF,23,NOP,33,8,30,6,25.8,4.3,9.8,0.435,2.5,6.9,0.361,1.8,2.9,0.616,0.563,1.7,2.1,0.806,0.5,3.2,3.7,1.6,0.7,0.5,0.5,1.2,12.7,773,14.7,0.593,0.707,0.211,2.2,13.9,8.1,8.7,1.4,1.8,4.5,18.7,1.2,0.9,2.1,0.128,1.4,-0.6,0.9,0.6
Larry Nance Jr.,C,31,NOP,33,8,37,0,18.5,2.1,3.7,0.569,0.5,1.2,0.455,1.6,2.5,0.624,0.642,0.7,1,0.722,1.4,3.8,5.2,1.6,1,0.4,0.8,1.4,5.5,686,15.4,0.661,0.321,0.263,8.2,22.8,15.5,10.9,2.7,2,15.5,11.4,1.1,1.2,2.3,0.161,0,2.4,2.4,0.8
Jeremiah Robinson-Earl,PF,23,NOP,33,8,21,1,10,1.4,2.8,0.517,0.4,1,0.364,1,1.7,0.611,0.586,0.5,0.5,0.909,0.7,1.6,2.3,0.5,0.3,0.1,0.4,0.7,3.7,210,13.6,0.621,0.379,0.19,8,17.9,13,6.4,1.6,1.4,12.5,14.7,0.3,0.3,0.5,0.12,-0.9,-0.1,-1,0.1
Matt Ryan,SF,26,NOP,33,8,14,1,21.6,2.7,6.1,0.447,2.3,4.9,0.471,0.4,1.2,0.353,0.635,0.9,1,0.929,0.4,1.9,2.2,1,0.4,0.1,1.1,1.7,8.6,303,9.5,0.664,0.8,0.165,1.8,9.5,5.7,6,0.8,0.3,14.9,15.2,0.2,0.2,0.5,0.073,-1,-1.2,-2.2,0
Dereon Seabron,SG,23,NOP,33,8,5,0,10.4,0.8,2.6,0.308,0.2,0.4,0.5,0.6,2.2,0.273,0.346,1,1.2,0.833,0.2,1.2,1.4,0.8,0.4,0.2,0,0.8,2.8,52,9.1,0.448,0.154,0.462,2.2,12.8,7.5,9.4,1.9,1.9,0,13,0,0.1,0.1,0.081,-3,1.2,-1.8,0
Jonas Valančiūnas,C,31,NOP,33,8,55,55,25.5,5.4,9.5,0.573,0.5,1.6,0.341,4.9,7.9,0.62,0.602,2.3,2.9,0.796,2.6,6.8,9.4,2.3,0.4,1,1.4,2.9,13.7,1403,21,0.638,0.169,0.312,11.4,29.6,20.5,13.5,0.8,4,11.4,20.5,3.5,2.3,5.7,0.197,1.6,0.6,2.3,1.5
Zion Williamson,PF,23,NOP,33,8,44,44,30.5,8.8,15,0.585,0.1,0.3,0.364,8.7,14.8,0.589,0.589,4.7,6.9,0.684,1.8,3.8,5.5,4.8,0.9,0.5,2.5,2.3,22.4,1344,22.9,0.62,0.017,0.46,6.4,13.6,10,26.2,1.5,1.5,12.1,29,3.2,1.5,4.7,0.169,3.6,0.1,3.7,2
Cody Zeller,C,31,NOP,33,8,36,0,8,0.6,1.5,0.396,0,0.1,0.333,0.6,1.4,0.4,0.406,0.6,1,0.6,1.1,1.6,2.6,0.9,0.2,0.1,0.4,1.1,1.8,289,11.5,0.468,0.057,0.66,14.7,21.9,18.3,14.4,1.3,1.4,16,12.1,0.3,0.4,0.6,0.108,-3.2,0.4,-2.9,-0.1
Precious Achiuwa,PF,24,NYK,33,9,23,9,25.3,3.5,6.6,0.526,0.3,1,0.25,3.2,5.6,0.578,0.546,0.7,1,0.773,3.2,4,7.3,0.9,0.6,1,0.9,2.1,8,583,14.4,0.566,0.158,0.145,14.1,17.8,16,4.9,1.1,3.8,11.5,13.4,0.8,0.8,1.6,0.128,-1.4,-0.1,-1.5,0.1
OG Anunoby,SF,26,NYK,33,9,14,14,35.7,5.8,11.2,0.516,1.8,4.6,0.391,4,6.6,0.602,0.596,2.3,2.7,0.842,1.1,3.6,4.6,1.5,1.8,1.1,1.4,2.4,15.6,500,15.1,0.63,0.408,0.242,3.3,11.2,7.2,5.9,2.5,2.8,9.9,16.4,0.7,0.7,1.5,0.139,0,2.4,2.4,0.6
Ryan Arcidiacono,PG,29,NYK,33,9,20,0,2.3,0,0.3,0,0,0.3,0,0,0,,0,0,0,,0,0.4,0.4,0.2,0.1,0,0.1,0.3,0,45,-1.9,0,1,0,0,19.8,9.9,10.2,2.2,0,25,7.6,-0.1,0.1,-0.1,-0.088,-11.7,1.9,-9.8,-0.1
Bojan Bogdanović,SF,34,NYK,33,9,2,0,28,5,11.5,0.435,1.5,5.5,0.273,3.5,6,0.583,0.5,1.5,2.5,0.6,0,3.5,3.5,0.5,0.5,0.5,0.5,2,13,56,9.9,0.516,0.478,0.217,0,13.9,7,2.6,0.9,1.7,3.8,20,0,0.1,0.1,0.049,-2.4,-1,-3.4,0
Charlie Brown Jr.,SG,26,NYK,33,9,6,0,5.5,0.3,1.5,0.222,0.3,1,0.333,0,0.5,0,0.333,0,0,,0.2,0.2,0.3,0,0,0.3,0.3,0.8,1,33,-2.4,0.333,0.667,0,3.4,3.4,3.4,0,0,5.6,18.2,14.2,-0.1,0,-0.1,-0.108,-10,-3,-13,-0.1
Jalen Brunson,PG,27,NYK,33,9,52,52,35.9,9.8,20.4,0.483,2.7,6.5,0.411,7.2,13.9,0.516,0.548,5.3,6.3,0.835,0.6,3.3,3.8,6.5,0.9,0.2,2.4,2,27.6,1865,22.2,0.596,0.319,0.309,1.8,10.1,5.9,30.3,1.3,0.5,9.3,30.3,5.6,1.7,7.3,0.188,5.3,-0.3,4.9,3.3
Alec Burks,SG,32,NYK,33,9,3,1,23,4.3,12.7,0.342,2.3,6,0.389,2,6.7,0.3,0.434,2.3,2.7,0.875,0.7,1.3,2,1,0,0,1.7,1.7,13.3,69,6.8,0.482,0.474,0.211,3.2,6.5,4.8,6.4,0,0,10.7,28.8,-0.1,0,-0.1,-0.044,-3.9,-5.5,-9.4,-0.1
Donte DiVincenzo,SG,27,NYK,33,9,54,36,25,4.8,10.6,0.458,3,7.3,0.415,1.8,3.2,0.554,0.602,0.9,1.3,0.729,0.7,2.5,3.3,2.5,1.2,0.3,1.2,1.9,13.6,1348,16.9,0.613,0.693,0.123,3.3,11.3,7.3,14.6,2.3,1.2,9.5,21,2.5,1.8,4.3,0.153,2.9,1.2,4.1,2.1
Taj Gibson,PF,38,NYK,33,9,16,1,10.3,0.4,1.4,0.304,0,0.4,0,0.4,1.1,0.412,0.304,0.1,0.1,1,0.6,1.1,1.8,0.6,0.1,0.4,0.3,1.8,1,165,3.1,0.335,0.261,0.087,6.7,12.2,9.5,6.6,0.6,3.4,17.3,7.5,-0.1,0.2,0.1,0.02,-7.1,0,-7.1,-0.2
Quentin Grimes,SG,23,NYK,33,9,45,18,20.2,2.5,6.4,0.395,1.7,4.7,0.363,0.8,1.6,0.486,0.53,0.5,0.8,0.706,0.3,1.6,2,1.2,0.7,0.1,0.5,1.5,7.3,910,9.4,0.543,0.741,0.119,1.7,9.1,5.4,7.7,1.6,0.3,6.5,15.1,0.6,0.9,1.5,0.081,-2.1,0.5,-1.6,0.1
Josh Hart,SF,28,NYK,33,9,54,15,29.9,3,7.1,0.423,0.9,3,0.306,2.1,4.2,0.507,0.487,0.9,1,0.839,1.3,5.8,7.1,3.2,0.8,0.3,1.3,1.9,7.8,1613,10.5,0.515,0.416,0.145,4.8,21.6,13.2,14.1,1.3,0.8,14.4,12.7,0.7,2.1,2.8,0.085,-2,1.3,-0.7,0.5
Isaiah Hartenstein,C,25,NYK,33,9,50,24,25.6,2.9,4.6,0.619,0,0.1,0.333,2.8,4.6,0.623,0.621,1.4,2,0.707,3.4,5.3,8.7,2,1.2,1.1,1.2,2.9,7.1,1280,17.3,0.65,0.013,0.429,14.9,22.9,18.9,10.4,2.3,4,17.7,11.1,2.6,2.3,5,0.186,-0.2,2.3,2.1,1.3
DaQuan Jeffries,SG,26,NYK,33,9,10,0,3,0.5,1.2,0.417,0.1,0.5,0.2,0.4,0.7,0.571,0.458,0,0.2,0,0,0.5,0.5,0.2,0,0,0.1,0.2,1.1,30,5,0.427,0.417,0.167,0,18.6,9.3,9.5,0,0,7.2,19.7,-0.1,0,0,-0.045,-5.1,-1.6,-6.6,0
