Player,Pos,Age,Tm,Team Wins,Overall Seed,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TMP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Colin Castleton,C,23,LAL,30,15,7,0,5.1,1,1.4,0.7,0,0,,1,1.4,0.7,0.7,0.6,0.6,1,0.6,0.7,1.3,0.4,0,0,0.1,1,2.6,36,18.5,0.765,0,0.4,12.9,14.8,13.9,11.9,0,0,7.8,15.3,0.2,0,0.2,0.233,-0.2,-1.7,-2,0
Max Christie,SG,20,LAL,30,15,43,7,17.2,1.8,4.3,0.422,0.7,2.1,0.356,1.1,2.2,0.484,0.508,0.7,0.9,0.784,0.2,2.4,2.6,1,0.4,0.3,0.7,1.2,5,740,7.6,0.539,0.486,0.2,1.6,14.8,8.5,7.4,1,1.7,13.3,13.5,-0.3,0.7,0.4,0.025,-4,-0.3,-4.4,-0.4
Anthony Davis,C,30,LAL,30,15,52,52,35.7,9.5,17.2,0.553,0.4,1.3,0.284,9.1,15.9,0.575,0.563,5.6,6.9,0.81,3,9.1,12.2,3.8,1.1,2.5,2.1,2.4,24.9,1858,25.5,0.617,0.075,0.4,9.9,27.1,18.9,17.1,1.5,6,9.3,26.8,4.7,3.2,7.9,0.204,3.5,1.8,5.3,3.4
Spencer Dinwiddie,PG,30,LAL,30,15,2,0,29.5,3,6,0.5,1.5,4.5,0.333,1.5,1.5,1,0.625,0.5,0.5,1,0,1,1,5.5,2,0,2.5,2,8,59,10,0.643,0.75,0.083,0,3.6,1.9,23.5,3.2,0,28.7,12.7,0,0.1,0.1,0.058,-3.6,0.8,-2.8,0
Alex Fudge,SF,20,LAL,30,15,4,0,3.5,0.3,1.5,0.167,0,0.5,0,0.3,1,0.25,0.167,0.5,0.5,1,0.5,0,0.5,0,0,0,0.3,0.3,1,14,-2,0.291,0.333,0.333,16.6,0,7.9,0,0,0,12.7,24.3,-0.1,0,-0.1,-0.224,-10.1,-8.1,-18.1,-0.1
Rui Hachimura,PF,25,LAL,30,15,42,13,24.2,4.6,8.9,0.515,1.2,3.1,0.4,3.3,5.8,0.576,0.584,1.6,2.2,0.728,0.8,2.9,3.7,1.1,0.7,0.3,0.7,1.4,12,1018,14.1,0.608,0.349,0.247,3.8,12.9,8.5,6.4,1.3,1,6.8,18.8,1.1,0.9,2,0.092,-0.9,-0.9,-1.8,0
Jaxson Hayes,C,23,LAL,30,15,45,3,11,1.5,2.2,0.701,0,0.1,0,1.5,2,0.747,0.701,0.6,1,0.628,0.7,1.6,2.3,0.5,0.5,0.4,0.5,1.6,3.6,496,13.4,0.703,0.062,0.443,7.7,15,11.5,5.6,2.2,3.2,16,12,0.7,0.7,1.4,0.131,-3.4,1.6,-1.8,0
D'Moi Hodge,SG,25,LAL,30,15,7,0,5.9,0.7,2.1,0.333,0.4,1.7,0.25,0.3,0.4,0.667,0.433,0.1,0.3,0.5,0,0,0,0.7,0.1,0.1,0.1,0.6,2,41,6,0.441,0.8,0.133,0,0,0,15.8,1.2,2.1,5.9,17.7,0,0,0,-0.02,-4,-2.5,-6.5,0
Jalen Hood-Schifino,SG,20,LAL,30,15,17,0,5.6,0.5,2.2,0.237,0.1,0.6,0.091,0.5,1.6,0.296,0.25,0.6,0.9,0.625,0.1,0.5,0.6,0.5,0.2,0.1,0.5,0.6,1.7,96,-0.5,0.322,0.289,0.421,2.4,10,6.4,10.4,1.5,1.8,15.1,23.8,-0.5,0.1,-0.4,-0.201,-11.8,-2.9,-14.7,-0.3
LeBron James,PF,39,LAL,30,15,49,49,34.9,9.3,17.9,0.52,2.1,5.4,0.395,7.2,12.5,0.573,0.579,4.1,5.5,0.741,0.9,6.3,7.2,7.8,1.3,0.6,3.2,1.2,24.8,1711,22.4,0.611,0.3,0.308,2.9,19.2,11.4,35.4,1.7,1.5,13.8,29.1,2.9,2.1,5,0.139,5,0.8,5.8,3.4
Maxwell Lewis,SF,21,LAL,30,15,19,0,3.6,0.2,0.6,0.25,0.1,0.2,0.333,0.1,0.5,0.222,0.292,0,0,,0.1,0.1,0.2,0.2,0.1,0,0.3,0.2,0.4,69,-1.8,0.292,0.25,0,1.7,3.1,2.4,5.1,1.4,0,29.4,10.6,-0.2,0,-0.2,-0.128,-9,-2.3,-11.3,-0.2
Skylar Mays,SG,26,LAL,30,15,8,0,7,0.9,2,0.438,0.3,0.6,0.4,0.6,1.4,0.455,0.5,0,0,,0.1,0.4,0.5,1,0.4,0.1,0.1,0.5,2,56,11,0.5,0.313,0,2.1,5.7,4,18.6,2.5,1.6,5.9,13.1,0,0.1,0.1,0.076,-2.8,0.8,-1.9,0
Taurean Prince,PF,29,LAL,30,15,53,48,30.1,3.5,7.9,0.439,2,5.1,0.39,1.5,2.8,0.527,0.565,0.7,1,0.731,0.2,2.7,3,1.7,0.9,0.5,0.9,2.2,9.6,1594,8.6,0.579,0.645,0.125,0.9,9.7,5.5,7.2,1.4,1.4,9.8,13.2,0.2,1.3,1.6,0.047,-2.8,0,-2.8,-0.3
Austin Reaves,SG,25,LAL,30,15,56,31,31.1,5.5,11.2,0.49,1.7,4.8,0.365,3.7,6.4,0.582,0.567,3.2,3.7,0.863,0.7,3.3,3.9,5.4,0.9,0.2,2.1,1.9,15.8,1742,15.9,0.619,0.426,0.328,2.5,11.2,7,24.3,1.4,0.5,14.1,20.6,2.7,1.4,4.1,0.114,0.8,-0.4,0.3,1.1
Cam Reddish,SF,24,LAL,30,15,35,26,23.3,2.4,5.9,0.405,0.9,2.7,0.337,1.5,3.1,0.464,0.483,1,1.3,0.783,0.5,1.9,2.4,1.3,1.2,0.3,0.9,1.6,6.7,815,8.4,0.519,0.463,0.224,2.7,8.5,5.7,7.3,2.5,1.2,11.8,13.5,-0.3,0.9,0.6,0.035,-4,1.1,-2.8,-0.2
D'Angelo Russell,PG,27,LAL,30,15,51,44,31.2,6.4,13.7,0.465,2.7,6.4,0.417,3.7,7.4,0.507,0.562,2,2.5,0.81,0.4,2.4,2.8,6.3,0.8,0.5,1.9,2.1,17.5,1592,16.3,0.588,0.465,0.18,1.5,8.2,5,29.4,1.2,1.4,11.6,23.2,2.1,1.2,3.3,0.099,1.8,-0.9,0.9,1.2
Jarred Vanderbilt,PF,24,LAL,30,15,29,6,20,2,3.9,0.518,0.3,0.9,0.296,1.8,3,0.586,0.553,0.8,1.2,0.667,1.4,3.3,4.8,1.2,1.2,0.2,1,1.5,5.2,581,11.5,0.578,0.237,0.316,8.2,17.8,13.2,7.8,2.9,0.8,17.7,11.7,0.2,0.8,1.1,0.089,-3.1,1.4,-1.7,0
Gabe Vincent,PG,27,LAL,30,15,5,0,25.4,2.4,6.4,0.375,0.4,3.4,0.118,2,3,0.667,0.406,0.2,0.4,0.5,0.4,0.6,1,3,1.2,0,0.4,2.4,5.4,127,5.9,0.411,0.531,0.063,1.8,2.5,2.2,14.8,2.2,0,5.7,11.8,-0.1,0.1,0,0.012,-5.6,1.4,-4.2,-0.1
Dylan Windler,SF,27,LAL,30,15,5,0,4,0.8,1.8,0.444,0.8,1.6,0.5,0,0.2,0,0.667,0,0,,0,0.4,0.4,0.8,0,0,0,0.4,2.4,20,18.6,0.667,0.889,0,0,10.6,5.6,28.8,0,0,0,19.4,0.1,0,0.1,0.209,5.5,-0.8,4.7,0
Christian Wood,PF,28,LAL,30,15,50,1,17.4,2.5,5.3,0.466,0.7,2.3,0.307,1.8,3,0.587,0.532,1.3,1.9,0.702,0.8,4.3,5.1,1,0.3,0.7,1,1.4,6.9,872,12.2,0.568,0.432,0.356,5.2,26.2,16.2,7.5,0.9,3.3,14.1,17.6,0,1.2,1.1,0.063,-2.8,-0.1,-2.9,-0.2
Santi Aldama,PF,23,MEM,20,24,44,18,24.8,3.9,9.2,0.429,1.7,4.9,0.344,2.3,4.3,0.527,0.521,0.8,1.4,0.597,1.1,4.4,5.5,2.2,0.7,0.7,1.1,1.5,10.4,1091,12.9,0.531,0.533,0.154,4.9,20.2,12.3,13.7,1.3,2.5,10,18.9,0,1.4,1.4,0.063,-0.8,0.5,-0.3,0.5
Desmond Bane,SG,25,MEM,20,24,37,37,34.5,8.9,18.8,0.474,3.3,8.6,0.384,5.6,10.2,0.551,0.563,3.3,3.8,0.864,0.9,3.6,4.6,5.3,1,0.5,2.7,2.9,24.4,1277,18.8,0.597,0.46,0.201,2.8,12,7.3,28,1.4,1.4,11.6,28.9,1.4,1.3,2.8,0.104,3.4,0.1,3.5,1.8
Bismack Biyombo,C,31,MEM,20,24,30,27,23.9,2.2,4,0.563,0,0,,2.2,4,0.563,0.563,0.7,1.5,0.478,1.9,4.5,6.4,1.7,0.3,1.1,1.3,2.7,5.2,718,9.9,0.56,0,0.387,8.4,21.2,14.6,10,0.7,4.4,21.4,10.6,0.1,0.9,1,0.07,-4.9,1.6,-3.2,-0.2
Jacob Gilyard,PG,25,MEM,20,24,37,14,17.7,1.6,3.9,0.417,1.4,3.2,0.425,0.2,0.6,0.375,0.594,0.1,0.1,1,0.2,0.9,1.2,3.5,0.7,0.1,0.8,0.9,4.7,654,11.5,0.597,0.833,0.014,1.3,6.1,3.6,28.1,2,0.7,16.7,11.5,0.8,0.6,1.4,0.104,-1.5,0.3,-1.2,0.1
Jordan Goodwin,PG,25,MEM,20,24,2,1,26.5,4.5,10,0.45,1,2.5,0.4,3.5,7.5,0.467,0.5,0.5,2,0.25,1.5,3.5,5,3,1.5,0.5,1,1,10.5,53,13.6,0.483,0.25,0.2,6,15,10.4,17.8,2.8,1.7,8.4,19.3,0,0.1,0.1,0.052,-2.9,0.3,-2.6,0
Shaquille Harrison,SG,30,MEM,20,24,3,0,2,0.3,0.7,0.5,0,0,,0.3,0.7,0.5,0.5,0,0,,0,0.7,0.7,0,0,0.3,0,0,0.7,6,15.7,0.5,0,0,0,37.9,18.3,0,0,15.4,0,14.4,0,0,0,0.088,-0.7,5.4,4.7,0
Matthew Hurt,PF,23,MEM,20,24,3,0,18.7,2,6,0.333,0.7,3.3,0.2,1.3,2.7,0.5,0.389,1,1,1,1.3,0.7,2,1,0,0.3,0,0.7,5.7,56,8,0.44,0.556,0.167,7.6,4.1,5.9,7.7,0,1.7,0,14.9,0,0,0,0.03,-1.8,-1.7,-3.5,0
GG Jackson II,PF,19,MEM,20,24,23,1,19.4,4,8.7,0.455,1.8,4.4,0.412,2.1,4.3,0.5,0.56,1.6,2.3,0.667,1,2.5,3.5,0.8,0.5,0.7,0.9,1.2,11.3,447,15.8,0.581,0.51,0.27,5.5,14.8,10,6.7,1.3,3.3,8.6,23.6,0.2,0.5,0.7,0.078,0.7,-1,-0.3,0.2
Jaren Jackson Jr.,C,24,MEM,20,24,51,51,31.8,7.7,17.2,0.449,1.8,5.7,0.325,5.9,11.5,0.51,0.503,5,6.1,0.823,1.2,4.3,5.4,2.1,1,1.5,2.4,3.6,22.3,1623,16.9,0.561,0.33,0.354,3.9,15.2,9.3,11.9,1.5,4.5,10.7,30.1,0,2.2,2.2,0.065,-0.4,0.4,0,0.8
Trey Jemison,C,24,MEM,20,24,7,3,20,2.4,5.1,0.472,0,0,,2.4,5.1,0.472,0.472,0.9,1,0.857,2.1,2.1,4.3,1,0.6,1.4,1.1,3.3,5.7,140,10.6,0.512,0,0.194,11.4,12.2,11.8,7.3,1.4,6.6,17,14.5,0,0.2,0.2,0.058,-6.8,0.4,-6.3,-0.2
Luke Kennard,SG,27,MEM,20,24,27,11,24.7,3.6,8,0.444,2.8,6.1,0.455,0.8,1.9,0.412,0.618,1,1.1,0.839,0.3,2.6,2.9,3,0.4,0,1.1,1.1,10.9,667,13.1,0.638,0.764,0.144,1.4,11.9,6.5,18.3,0.9,0.1,11.2,16.7,0.9,0.5,1.5,0.105,0.8,-0.7,0.1,0.4
John Konchar,SF,27,MEM,20,24,44,15,19.4,1.5,3.6,0.424,0.6,2,0.292,0.9,1.6,0.594,0.506,0.3,0.3,0.786,1.2,3.1,4.3,1.8,0.8,0.9,0.7,1.3,3.9,855,11.4,0.521,0.563,0.089,6.3,18.4,12.2,12.5,2,4.4,15,9.7,0.3,1.3,1.7,0.094,-2.7,2.3,-0.4,0.4
Jake LaRavia,PF,22,MEM,20,24,11,0,11.1,1.5,3.9,0.372,0.5,2.2,0.208,1,1.7,0.579,0.43,0.3,0.4,0.75,0.6,0.8,1.5,0.5,0.1,0.1,0.4,1.7,3.6,122,4.8,0.447,0.558,0.093,6.1,8.4,7.2,7.3,0.4,0.8,8.2,17.2,-0.1,0.1,-0.1,-0.022,-6.9,-1.7,-8.6,-0.2
Ja Morant,PG,24,MEM,20,24,9,9,35.3,8.9,18.9,0.471,1.6,5.7,0.275,7.3,13.2,0.555,0.512,5.8,7.1,0.813,0.7,4.9,5.6,8.1,0.8,0.6,3,2.1,25.1,318,20.3,0.57,0.3,0.376,2,15.8,8.6,41.4,1.1,1.5,12,30.5,0.5,0.3,0.8,0.119,2.6,0.4,3.1,0.4
